partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
2416,3,3,3,2,2,-3,3,2,0,1,2,0,2,2,2,0,0,2,-3,-3,3,3,3,0,1,2,1,0,0,0,0,0,2,0,-1,1,0,-2,-2,-2,-2,-2,-3,-3,1,1,1,0,4,24,4,4,402
2418,3,3,3,3,3,-3,0,0,1,2,0,-3,-3,1,1,1,0,2,-3,-1,-3,1,3,-1,0,-2,0,-3,-3,-1,-1,2,3,2,-3,-2,-3,-3,-2,-2,-3,-3,-3,-3,-3,0,3, ,3,22,4,4,402
2420,2,2,0,1,3,-2,1,-2,1,2,2,-2,1,1,-1,0,0,2,-2,-1,-2,2,2,1,1,1,1,0,-1,-1,0,2,2,2,-3,1,-2,-3,-2,-3,-3,-3,-3,-2,-3,1,2,0,5,21,3,3,402
2421,1,1,-1,0,-2,0,-3,-3,-2,-2,-2,1,1,2,-3,-3,3,-3,-3,-3,0,2,3,1,2,2,0,-1,-1,1,1,0,0,0,-1,3,2,0,-2,0,0,-1,-3,-3,2,2,3, ,4,22,6,3,402
2422,0,-2,-2,-2,2,2,1,-1,3,2,2,3,-1,-1,1,2,2,-1,-1,-2,-1,2,3,-3,-1,-2,0,1,0,1,0,1,1,1,1,1,1,-3,-1,0,-1,-1,-1,-3,-1,2,3, ,1,31,3,2,402
2424,-3,0,-3,-2,-1,-3,-3,-3,3,3,3,3,-3,-2,-3,2,3, ,-1,2,-3,2,3,-3,-3,-1,2,-3,-3,0,1,0,-3,-2,-3,3,0,-3,1,-3,-3,-3,-3,-3,-3,-3,3,0,2,23,7,3,402
2425,1,1,1,1,1,-2,0,0,1,2,1,-1,1,1,0,0,0,1,-1,-2,-1,1,3,1,1,1,1,-1,-1,0,0,2,2,1,1,1,1,-2,1,-2,-1,-2,-2,-2,-2,-2,3, ,5,26,6,3,402
2426,-3,0,-3,-1,0,0,0,0,3,0,3,3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,0,-1,1,0,1,0,0,0,-3,-2,-3,-3,-3,-3,-3,-3,-3,3, ,3,23,6,1,402
2427,1,1,-1,-1,3,-3,-1,-1,0,2,2,0,1,1,0,0,0,2,-2,-3,2,3,3,-2,-2,-1,-3,-3,-3,-1,-1,-2,-2,-2,2,2,1,-1,1,-1,-1,-1,-2,-3,2,3,3, ,4,23,3,5,402
2428,3,2,1,1,2,-1,0,1,-2,1,2,-3,3,3,1,-2,-1,3,-3,3,1,2,3,-3,-3,-3,-3,-3,-3,-1,1,2,2,2,0,2,0,-3,-3,-2,-3,-3,-3,2,0,2,3, ,6,22,3,2,402
2430,1,1,0,1,2,-2,-1,2,1,2,0,1,2,2,1,0,0,1,-1,1,1,-2,3,-1,-2,-1,-2,-1,-1,1,1,-2,-2,-2,-2,2,1,-3,-3,-3,-2,-3,-3,-2,1,-2,2,0,4,23,3,3,402
2432,3,2,-1,0,1,-3,-1,0,3,3,3,2,-1,0,0,-1,1,0,-3,-2,-1,3,3,-2,-2,-2,0,-2,-2,1,-1,-1,-1,1,0,0,0,-3,1,-3,-3,-3,-3,-2,-1,3,3,0,4,23,3,5,402
2434,0,0,0,1,3,-3,-2,-2,-1,1,-1,1,-1,2,1,2,3,0,2,-3,2,3,3,-3,-3,-1,-3,-2,-2,0,0,2,-3,-3,-2,3,-2,-3,-2,-2,-1, ,-3,-3,-1,0,3, ,4,24,3,4,402
2435,2,0,-2,1,0,-1,-2,1,-1,2,0,-1,-3,-3,-3,-3,-2,-1,-1,-1,-2,3,2,1,1,-3,-1,-2,-3,0,-1,1,2,1,-2,3,1,-2,-2,-2,-2,-1,-1,-3,1,3,3, ,6,21,6,2,402
2436,1,-2,-2,0,2,2,-1,-2,2,2,1,2,1,-1,1,0,0,1,-3,2,-3,3,3,-3,-3,-3,-3,-3,-3,-1,-1,1,1,1,-2,1,1,-3,1,0,-3,-3,-3,0,-3,2,3,0,6,23,4,2,402
2437,3,2,3,-1,2,-3,0,0,0,0,0,-3,3,3,3,3,3,3,-3,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,2,0,3,2,-3,2,-3,-3,-1,-3,-1,1,1,1, ,4,25,3,4,402
2438,-2,-2,-2,-2,2,0,0,2,-2,2,-2,0,1,-1,0,0,2,1,-3,-3,-2,3,3,0,1,-1,0,-3,-3,-1,0,1,1,1,-3,3,3,-3,2,0,1,-3,-3,-3,-3,0,3, ,5,21,6,4,402
2439,-2,-1,-3,-3,-2,-3,-2,-2,3,3,3,3,-3,-1,-2,0,0,3,1,-3,-3, ,1,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-1,0,-3,-3,-3,-3,-3,-3,-1,-3,-3,-1,3, ,4,21,4,3,402
2442,0,-3,-3,-3,3,-1,0,-2,1,3,3,1,-3,-3,-3,-3,-2,0,-3,-3,-1,-1,3,-3,-3,-3,-3,-3,-3,0,1,-1,0,-3,-3,0,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,0,1,23,3,2,402
2443,3,1,2,3,3,-3,1,1,-3,-3,-3,-3,3,-1,-1,-1,-1,-2,-3,1,3,2,2,3, ,1,2,-3,2,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,3,0,4,23,5,7,402
2444,3,-1,2,-3,0,-3,0,0,3,3,3,2,-3,0,-1,1,3,1,-3,-3,-3,0,3,-2,-1,-1,-1,-3,-3,0,-1,0,0,0,-2,1,0,-3,0,-3,-3,-2,-3,-3,-3,0,2,0,4,21,4,2,402
2447,0,2,-2,-2,0,1,-3,-3,1,3,2,2,1,1,0,1,2,2,-3,-3,-3,0,1,-3,-2,-3,-3,-3,-3,-1,0,0,0,0,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,0,4,21,5,4,402
2449,0,2,0,0,2,-3,-2,0,3,3,3,2,-3,-3,-3,0,3,-1,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,-3,3,-2,-3,0,-3,-3,-3,-3,-3,-3,3,3,0,5,22,3,2,402
2450,1,1,2,-3,3,-3,-3,0,0,0,0,0,3,3,-3,-3,-3,3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,-1,0,1,0,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,4,21,3,4,402
2452,0,0,-2,1,3,-1,-2,1,-2,-2,-2,1,2,2,2,0,0,2,-3,0,1,2,3,2,2,2,2,-3,-2,0,0,2,2,1,2,2,3,-3,2,3,-3,-3,-3,2,2,2,3, ,5,26,3,6,402
2453,-2,-2, ,-2,0,-2,-2,-1, ,2,2,1,-3,-3,-3,-3,3,0,-3,-3,-3,3,3,-3,-2,-2,-3,-3,-3,0,-1,2,2,2,-3,-3,-3,-3,-2,-3,-3,-3,-2,-2,-2,3,3, ,2,22,6,1,402
2454,3,0,2,0,3,-1,-2,0,-2,0,-1,-3,-3,-3,-3,-2,0,-1,0,1,0,1,1,-2,0,-3,-1,-1,-3,-1,-1,-1,-3,-2,-1,0,-1,-1,0,-1,0,-1,0,1,1,1,1, ,4,21,6,3,402
2455,0,0,0,1,-1,-3,-2,-1,1,1,1,1,1,0,0,0,0,1,-3,-3,3,3,3,-1,-1,-1,-1,1,0,-1,1,-1,2,2,0,3,1,-3,1,-3,-3,0,-3,-3,-2,3,3,0, ,21, , ,402
2456,2,1,2,2,2,-1,1,1,0,1,-2,0,2,2,0,0,0,1,-2,0,1,2,-1,2,2,2,2,1,1,-1,0,-1,0,-1,0,3,3,0,3,0,2,0,-3,-2,1,0,2,0,4,23,4,5,402
2458,3,3,3,0,3,-3,3,3,2,3,-3,0,2,2,3,1,2,3,-3,2,2,2,2,3,3,3,3,0,0,1,0,2,2,2,1,3,2,2,3,1,2,2,-3,3,3,3,3,0,2,22,3,7,402
2461,-1,-1,-2,1,1,-2,-3,-3, ,1,1,0,-1,-1,-1,1,1,-2,-1,-3,-3,1,3,-2,-2,-2,0,1,-3,0,0,1,-2,-3,0,2,0,-3,1,1,-3,-3,1,-3,-3,-3,3, ,4,21,5,3,402
2462,3,2,1,2,2,-1,0,0,1,1,-1,-1,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,-2,-3,-3,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,4,21,3,5,402
2464,3,1,2,1,3,-3,1,1,0,2,-1,0,2,2,0,0,0,2,-3,-2,-1,-1,2,1,0,1,2,0,0,-1,1, ,1,2,-2,0,1,-3,-2,-2,-1,-3,-3,-3,-3,-3,2,0,2,21,3, ,402
2466,0,1,0,0,0,-3,-2,0,3,3,-1,1,-1,-1,-1,-1,1,1,-3,-3,-3,-3,3,-3,-3,-3,0,-3,-3,1,1,0,0,-1,-2,0,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,3,0,5,20,6,1,402
2468,0,-1,1,0,3,-3,2,-3,0,0,-1,-1,0,1,1,2,2,2,2,-2,2,2,3,-2,-1,-1,1,-2,-3,1,-1,2,1,1,2,2,2,1,2,2,2,2,-1,-2,2,2,3, ,2,23,4,2,402
2470,1,2,-2,0,1,-2,-2,0,2,3,3,2,-3,-3,-3,2,-1,-1,0,-3,-1,2,2,-3,-2,-3,0,-3,-3,0,0,-1,-3,-3,-2,0,0,-2,0,0,-2,-2,0,-3,-3,3,2, ,4,25,6,2,402
2471,2,2,2,1,1,-2,1,-1,2,2,1,2,3,3,1,0,0,3,-3,1,2,3,3,3,3,3,3,2,2,0,-1,2,2,2,0,2,2,-2,2,1,1,1,-3,1,1,3,3,0,4,26,3,3,402
2472,2,2,2,1,2,-3,1,3,-1,0,1,-3,-1,-1,-1,3,0,3,-3,-2,2,3,3,1,2,1,1,2,-2,-1,-1,1,3,2,2,2,0,-2,-2,0,-2,-3,-3,-1,2,3,3, ,5,23,7,3,402
2473,2,1,-3,-2,0,-3,-3,-2,3,3,3,3,-3,-3,-2,3,1,-3,-3,-2,-2,2,3,-3,-3,-3,-3,1,-3,-1,1,0,0,-1,-3,-2,-2,-3,-2,-3,-3,-3,-3,-3,-3,2,3,0,2,40,6,1,402
2475,1,0,1,0,2,2,-2,2,0,3,0,0,-2,0,0,3,3,0,1,-2,2,0,2,1,1,2,0,0,0,1,1,-2,-2,-2,-2,2,-1,-2,2,2,2,2,-1,-2,2,-1,2, ,4,23,6,3,402
2476,3,1,-3, ,3,-3,3,-1,2,-1,3,-3,1,-3,-1,-2,-2,1,-3,-3,1,3,3,-3,-2,-3,-3,-1,-1,1,0,2,2,2,-2,3,2,-2,-1,0,-2,-2,-3,-3,1,3,3, ,5,24,7,3,402
2477,2,1,0,2,0,-2,1,-1,-1,-1,-1,-3,1,0,0,3,0,2,1,-2,0,0,3,0,0,0,0,0,0,1,-1,1,1,-1,-3,1,-1,-1,-2,0,-1,-1, , , , , ,0,4,23,5,4,402
2479,2,2,2,0,0,-2,-2,0,0,0,0,0,-3,-2,-2, ,-2,-2,-2,-2,-2,-2,2,-3,-3,-3,-3,-3,-3,0,0,-2,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-3,-3,-3,2,0,4,37,3,3,402
2482,3,0,-1,0,2,0,1,-1,-1,0,-1,-2,-3,-1,-2,-2,-2,0,-3,-1,0,0,3,-2,-2,-3,-2,-3,-3,-1,1,-3,-2,-3,-1,2,2,0,1,-2,0,-1,-3,-3,0,0,2, ,5,22,6,5,402
2484,3,3,2,2,2,1,3,3,1,2,-1,-1,-1,1,0,0,0,2,-3, ,-2,2,3,-3,-3,-3,-2,-3,-3,1,1,0,-1,-1,-3,1,1,-3,1,-3,-2,3,-3,-3,-3,0,3,0,5,20,3,2,402
2485,1,-2,-3,-3,3,-1,0,0,-1,0,-1,3,-3,-3,-1,1,-2,-1,-2,-3,0,-3,3,-2,1,-3,-1,-2,-3,1,0,0,-1,1,0,2,2,-3,1,0,-2,-2,-2,-3,3,-3,3, ,4,21,4,4,402
2487,-1,1,-2,-2,3,-3,-2,0,-1,0,1,1,1,2,0,1,-1,0,2,1,1,2,3,-1,-2,0,0,1,-1,0,1,1,2,1,0,1,1,-1,2,0,0,3,0,-2,1,2,1, ,5,24,4,5,402
2489,3,2,2,2,1,-2,0,0,1,2,0,0,0,1,1,0,0,2,-1,0,0,-1,2,-1,-1,-2,0,-1,-2,0,-1,0,1,0,-2,1, ,-3,-2,-2,-3,-2,-2,-2,-1,0,1,0,1,23,3,2,402
2490,2,-1,3,3,3,-2,3,-1,-2,1,0,-3,-2,1,-3,-3,-3,1,-3,-3,-3,3,3,-3,-3,-1,0,-3,-3,-1,-1,3,2,2,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,0,3,0,5,23,5,4,402
2492,1,-2,1,1,1,3,-2,-2,1,0,0,1,-3,-3,-3,2,2,-1,-3, ,-2,3,3,-3,0,-2,-2,-3,-3,-1,0,3,3,0,-2,0,-1,-2,-2,-2,-2, ,-3,-3,-3,2,2, ,3,20,5,3,402
2493,3,1,1,3,3,-3,-2,-3,0,3,0,-3,3,3,-1,0,0,-1,-3,-2,-1,3,3,2,-2,3,-2,2,-3,1,1,1,3,0,-3,2,1,-3,3,-3,0,-3,-3,-3,-3,3,3,0,5,21,5,3,402
2494,-1,-2,-2,2,1,-2,-2,-2,2,2,2,1,-3,-2,-1,-1,0,-2,-3,-2,-1,-1,2,-2,-1,-1,-2,-2,-3,1,0,-2,2,0,1,2,2,-2,-1,-2,0,-3,-3,-2,0,-1,2, ,3,26,6,4,402
2495,-2,2,-2,2,2,-2,-2,-2,-2,2,2,-2,2,2,2,2,2,2,-3,-1,-3,-3,2,-1,0,-2,1,0,0,1,-1,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,0,4,23,5,3,402
2496,3,3,0,0,-3,-3,0,0,0,3,-2,2,-3,-3,-3,-1,1,1,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,0,1,-3,-3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3, ,5,24,3, ,402
2497,2,-1,1,2,3,-1,0,1,1,2,3,-1,2,2,0,0,0,2,0,-3,-1,2,3,-1,0,-1,-3,-3,-2,0,0,2,2,2,0,1,-2,-3,0,2,-1,-3,-2,-2,-1,2,3,0,1,23,6,4,402
2498,2,2,2,2,1,-2,-1,-1,-2,1,0, ,2,0,0,0,0,1,-2,-2,-2,0,2,-2,0, ,0,0,-1,0,-1,0,0,-1, ,0,2,-2,1,0,-1,-1,-3,-2,-2,1,2,0,4,24,3,3,402
2499,3,2,3,0,3,-1,3,2,3,3,3,-1,0,1,-3,-1,-2,1,3,-3,-1,3,3,0,0,0,-3,-3,-3,-1,-1,3,3,3,-3,2,0,-3,-3,-2,-3,-3,-1,-3,-1,3,3, ,5,23,4,2,402
2501,-2,-3,-2,-3,2,-2,0,-1,0,1,2,2,-3,-3,-3,-1,0,1,0,-3,-3,3,3,-3,-2,-3,-3,-3,-3,-1,0,3,2,2,0,0, ,-3,-2,-2,-2,-3,1,-3,-2,2,3, ,5,24,5,4,402
2511,3,1,-1,-1,2,-1,0,-2,0,1,0,0,-3,0,-2,1,-1,-2,-3,-1,-1,-3,3,-1,-1,-2,-2,0,-3,1,1,-2,-2,-2,-3,3,3,-3,3,-1,-3,-3,-3,-3,-2,-3,3,0,4,23,4,4,402
2512,3,3,2,2,2,-2,0,1,2,2,2,1,2,2,0,0,0,1,-3,-2,-3,-3,3,-2,1,0,1,-1,-2,1,0,-1,-1,-2,-1,0,1,-2,1,0,-2,-2,-3,1,-2,-3,3,0,5,21,6,2,402
2513,2,1,-2,0,2,-2,0,1,3,2,3,3,2,2,1,3,2,2,-2,-2,0,2,2,0,1,0,1,-2,-2,1,-1,2,2,1,0,2,-1,-3,-1,1,-3,-2,-3,-3,-1,2,3,0,1,21,3,2,402
2515,3,1,1,-2,3,-3,0,-1,0,0,1,-2,-3,0,0,0,2,2,1,-2,-2,3,3,-3,-3,-3,-3,-3,-3,0,0,0,0,0,-2,3,0,-3,-3,0,0,-3,0,-3,-3,3,3, ,4,23,3,3,402
2517,2,2,2,0,3,-3,1,0,0,3,2,1,3,2,0,0,0,0,-3,1,3,0,3,0,-3,0,0,1,-3,-1,-1,2,2,2,0,3,3,-1,2,-2,0,3,-3,-1,0,0,2,0,5,21,5,5,402
2518,3,1,3,0,3,-2,1,0,3,3,3,0,-1,-1,1,2,1,0,2,-1,2,2,3,-1,-1,0,1,0,-2,-1,1,2,-3,2,-2,1,0,-1,1,-1,0,-1,2,-3,0,2,3, ,4,23,5,2,402
2519,3,1,1,1,2,-3,0,2,2,2,2,0,0,0,0,0,0,0,-3,-3,-3,1,2,-1,0,0,2,1,-1,-1,0,2,1,1,-3,2,0,-3,0,-3,0,-3,-3,2,-3,0,3,0,4,23,3,3,402
2520,-3,-3,-3,-3,3,2,-2,1,1,2,3,-3,-1,-2,-2,0,0,-2,-3,2,-1,-3,2,-3,-3,-3,-2,-1,-3,1,1,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,5,23,7,1,402
2523,2,0,0,1,2,-3,0,-2,1,3,1,1, ,1,0,0,-1,0,0,0,0,0,0,-1,1,1,-1,-1,-1,0,1,1,1,1,1,2,1,-2,-1,-2,-2,-1,0,0,0,0,0,0,5,20,6,5,402
2525,2,3,2,3,3,-3,1,-1,-1,1,0,-2,-2,-2,-1,1,2,2,-3,-3,-3,2,2,-3,-2,-2,-2,-3,-3,0,-1,1,-2,-2,-3,2,-3,-3,2,-3,-3,-3,-3,-3,-3,2,2,0,2,21,3, ,402
2526,0,0,1,-1,3,-2,0,2,0,1,0,1,3,2,1,1,1,1,-1,0,0,1,3,0,0,1,1,0,-1,-1,-1,2,2,2,0,0,0,-2,-1,-2,-2,-2,-3,-2,-2,-3,-1,0,4,20,3,2,402
2527,2,1,0,0,3,-2,0,0,1,3,0,0,0,0,0,0,0,1,-3,-3,-2,-3,0,0,-1,-3,-1,-2,-2,-1,1, ,0, ,-2,1,-1,-3,-1,-3,-3,-3, , , , , , ,3,23,3,4,402
2529,3,2,3,3,2,-3,3,3,1,3,-3,-3,3,2,1,3,3,3,-3,2,3,1,3,3,3,3,1,-3,-3,1,1,3,3,3,3,3,3,-3,3,1,1,1,-3,3,3,0,3,0,6,26,6,6,402
2530,1,-2, ,-2,2,-1,-2, ,0,2,2,3,-3,-1,-1,-2,0,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,-3,-2,-3,-3,-3,-2,-2,-3,-3,-3,-3,1,3,0,2,25,6,1,402
2531,1,1,0,-1,1,-1,-1,1,0,2,0,1,-3,-2,-2,1,1,1,-1,-3,-3,3,3,-2,-2,-2,-2,-3,-3,1,-1,-1,0,-1,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,2,2, ,4,23,3,3,402
2532,2,1,-3,-2,3,-3,1,-3,0,2,0,0,3,3,1,1,1,-2,-3,-2,-1,0,3,-3,-3,0,-1,1,0,0,1,2,1,0,-3,3,3,-3,-2,-3,-3,-3,-3,-3,-3,0,3, ,5,21,3,4,402
2534,1,1,2,-1,3,-3,1,2,3,3,1,-2,-3,-2,-1,-1,-1,3,-3,-3,-3,-3,2,-3,-2,-2,-2,-3,-3,0,-1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0, ,21, , ,402
2535,3,3,3,-2,3,-2,2,0,2,3,2,3,3,3,0,0,2,2,-3,-3,-2,3,3,1,1,0,2,-3,-3,-1,-1,2,2,2,-3,-3,-1,-3,2,-3,-3,-3,-3,-3,-3,2,3, ,4,21,3,3,402
2537,3,2,3,3,3,-3,-2,3,1,3,2,0,3,3,2,0,2,2,-2,-2,-2,2,2,2,2,2,2,3,3,-1,0,1,-2,1,-3,2,2,-3,3,-3,-2,-3,-2,-2,-2,2,2,0,4,22,5,2,402
2538,-3,-1,3,1,3,-3,-3,1,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-2,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,0,4,23,2,2,402
2539,3,0,0,0,2,-3,-2,-2,0,2,2,-3,3,3,2,0,1,2,-3,1,-1,1,3,-3,-3,-1,-2,-3,-3,1,0,0,-1,0,1,2,2,-2,2,-1,-2,-2,-3,1,-3,0,3, ,3,23,3,3,402
2540,1,0,-1,-1,0,-3,1,0,2, ,-2,2,-1,-1,-1,0,2,1,-3,-1,0,2,3,1,-1,0,1,0,0,1,-1,1,1,0,-3,1,-1,-3,-1,-3,-3,-3,-3,-3,-2,-1,3,0,5,24,5,3,402
2541,2,2,0,3,1,-3,0,0,0,1,2,0,-2,-1,-1,0,0,-1,-3,-2,-1,3,3,-2,-2,-1,1,-3,-3,0,1,1,1,1,-2,0,0,-3,0,-2,-3,-3,-3,-3,-3,3,3, ,7,21,5,4,402
2542,3,2,3,-3,3,-3,3,2,1,0,-3,1,2,2,1,0,2,3,-3,2,-1,3,3,2,2,2,2,-3,-3,0,0,-3,-3,-3,-3,2,1,-3,-3,-3,-3,-3,-3,1,-3,3,3,0,6,22,5,6,402
2545,3,3,3,2,3,1,0,1,0,1,2,-3,1,-3,0,-3,-3,2,-1,1,0,3,3,-1,2,1,3,-3,-3,-1,1,2,-1,0,-3,1,2,-3,-3,-3,-1,-3,-3,1,-1,2,2,0,4,22,4,5,402
2547,1,3,1,0,3,0,0,0,0,3,3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3, ,4,26,5,4,402
2550,2,3,1,3,3,-3,-1,0,3,3,3,-3,2,2,-2,-2,-2,-1,-3,-3,2,-3,3,-3,-1,-3,-3,1,-3,0,1,2,1,2,2,3,-2,-3,3,-2,-2,-2,-2,-2,3,-2,3,0,4,22,5,4,402
